LoanID,ProductID,LoanAmount,LoanDate,InterestRate,LoanTerm,EmployeeID,BranchID,CustomerID,RepaymentSchedule
885,8,3299460,2020-02-10,8.68,162,179,4,4332,Yearly
886,8,1379916,2021-03-01,9.78,196,109,8,6022,Quarterly
887,2,1037638,2024-05-28,11.52,149,133,10,1399,Quarterly
888,1,3500606,2022-05-24,9.79,70,121,10,5380,Quarterly
889,8,1749006,2023-03-04,9.33,215,173,1,9777,Quarterly
890,6,2214038,2024-02-15,10.46,203,191,6,3011,Quarterly
891,1,3893947,2023-07-04,8.18,231,155,7,3318,Yearly
892,1,3892485,2022-11-23,7.19,239,138,9,4543,Monthly
893,6,727940,2021-05-21,6.96,100,148,1,1869,Monthly
894,2,4011114,2020-11-14,10.21,147,195,8,6282,Monthly
895,8,1884109,2021-11-07,10.07,228,174,10,9519,Yearly
896,6,2329185,2021-04-25,7.57,17,107,3,3011,Monthly
897,6,4746755,2024-04-12,11.73,50,133,9,2012,Quarterly
898,3,2315201,2021-11-17,7,31,161,5,4931,Yearly
899,1,4442172,2021-08-08,11.56,128,173,5,1536,Monthly
900,3,204385,2024-10-01,11.69,14,138,8,5062,Monthly
901,8,828008,2024-06-21,10.8,182,154,1,4457,Yearly
902,5,2646638,2024-07-11,7.44,226,138,10,9365,Yearly
903,8,1467172,2024-09-08,10.07,184,174,4,3339,Quarterly
904,1,4607524,2020-12-20,6.94,21,104,7,1351,Yearly
905,4,144595,2023-07-20,11.44,186,144,10,7149,Yearly
906,1,3121996,2023-12-01,11.17,144,119,5,6554,Quarterly
907,5,519276,2020-08-25,8.88,40,159,1,2283,Yearly
908,8,2156746,2020-12-28,9.88,183,118,9,7881,Yearly
909,4,3228296,2021-02-11,11.23,121,166,8,9618,Quarterly
910,3,1026439,2020-02-23,7.76,240,117,3,6023,Quarterly
911,6,3900209,2024-01-29,9.01,131,153,1,2151,Monthly
912,7,615720,2022-12-17,8.32,96,122,3,7742,Quarterly
913,1,1023690,2022-08-26,7.75,50,195,8,9519,Monthly
914,2,1188507,2023-01-31,11.66,75,116,6,6920,Quarterly
915,4,1922168,2021-03-07,8.39,212,127,4,6422,Monthly
916,3,3696365,2023-10-05,9.95,161,163,5,2554,Yearly
917,2,3217955,2024-06-13,9.37,40,188,3,6477,Yearly
918,6,1205665,2022-11-28,10.12,192,126,5,3149,Monthly
919,3,1076491,2021-06-19,10.29,206,135,3,6471,Quarterly
920,8,3062632,2022-08-04,10.2,103,126,1,1971,Quarterly
921,4,2284255,2020-03-30,10.7,125,141,1,3154,Quarterly
922,7,294904,2021-01-03,11.34,165,178,10,2988,Monthly
923,5,480887,2021-11-21,10.25,32,180,9,2353,Yearly
924,6,3187804,2021-02-03,9.78,173,114,9,2490,Yearly
925,5,2234055,2021-03-18,7.77,183,179,1,5689,Yearly
926,7,1129786,2021-12-04,6.91,108,175,5,6944,Monthly
927,2,4127627,2022-08-13,8.41,126,111,10,6282,Monthly
928,4,1765711,2021-01-24,9.44,20,160,7,1425,Monthly
929,5,2470943,2021-10-13,8.7,35,192,5,2474,Monthly
930,4,1666169,2021-02-08,9.76,192,167,6,3734,Quarterly
931,2,514646,2020-09-01,11.29,142,142,10,5803,Quarterly
932,8,4553982,2023-08-12,9.56,99,149,4,4902,Quarterly
933,4,1649441,2020-12-13,11.35,70,195,5,6777,Yearly
934,2,1698191,2020-08-29,7.78,47,110,9,8283,Monthly
935,1,867869,2020-02-28,6.68,237,115,8,3026,Yearly
936,7,2752472,2024-02-13,6.79,131,181,5,3825,Monthly
937,7,3603664,2023-09-01,11.07,73,153,9,2566,Quarterly
938,3,1857680,2020-05-12,6.91,225,180,4,6777,Yearly
939,8,4934749,2021-09-02,7.15,62,176,5,6162,Monthly
940,5,4679448,2020-11-30,9.57,38,157,8,4974,Yearly
941,5,131594,2020-04-11,11.6,143,158,8,5227,Quarterly
942,4,4886169,2024-05-14,10.01,67,186,4,9915,Yearly
943,7,411151,2020-07-03,7.14,231,156,4,8226,Monthly
944,5,3665063,2023-12-28,8.79,87,189,5,5835,Yearly
945,8,3993270,2021-01-04,9.98,191,137,9,8796,Monthly
946,1,2940038,2022-02-25,10.58,59,139,1,6817,Monthly
947,4,2456043,2020-05-14,10.3,78,165,9,8238,Monthly
948,3,596308,2020-07-24,8.5,188,147,1,3178,Quarterly
949,6,2151486,2022-07-26,10.33,151,165,3,6567,Monthly
950,8,2264004,2020-02-01,11.51,127,159,3,7886,Monthly
951,5,2417533,2020-10-26,11.76,139,169,4,8990,Quarterly
952,2,1841644,2021-01-19,9.78,184,154,5,9609,Monthly
953,5,1914779,2021-09-30,9.95,42,121,2,2547,Quarterly
954,1,2954104,2021-09-13,9.67,96,158,10,1425,Monthly
955,3,4693310,2021-07-28,9.38,18,130,5,8510,Quarterly
956,5,3341348,2022-12-28,11.01,51,103,2,8360,Monthly
957,4,4563565,2020-03-31,10.3,42,155,7,7886,Yearly
958,2,3674611,2020-10-09,9.81,199,111,3,6817,Quarterly
959,2,2695291,2021-03-28,7.88,226,113,8,8702,Yearly
960,4,1398920,2022-05-11,8.5,204,108,8,5914,Monthly
961,4,304885,2022-12-16,7.76,52,131,4,5647,Monthly
962,7,105512,2022-12-30,8.62,216,147,9,6240,Yearly
963,1,3986862,2021-05-13,6.88,154,142,5,8674,Yearly
964,6,4410639,2024-04-04,7,174,153,6,1402,Monthly
965,3,2114400,2022-01-21,11.23,214,186,4,3367,Monthly
966,8,2432379,2024-04-17,8.32,164,171,4,7244,Yearly
967,8,3570001,2020-07-31,6.81,71,150,6,5876,Monthly
968,4,4617521,2020-11-03,9.83,57,172,5,9132,Quarterly
969,8,3399833,2020-02-13,10.27,98,161,6,3179,Yearly
970,4,511804,2024-07-01,11.51,224,137,10,8471,Monthly
971,1,2436375,2021-11-05,11.44,143,132,7,1007,Quarterly
972,8,3588322,2021-08-18,10.56,74,105,2,3423,Monthly
973,2,878253,2022-05-25,11.35,92,187,5,1925,Yearly
974,2,553569,2021-06-17,8.74,90,111,5,6129,Yearly
975,2,4788184,2024-07-26,11.04,35,184,8,1441,Monthly
976,5,3514234,2020-01-14,7.5,231,187,9,7805,Monthly
977,5,1190765,2020-11-02,7.1,112,165,4,8121,Yearly
978,4,1336965,2021-10-26,9.83,149,175,4,7370,Monthly
979,6,2168941,2024-04-15,11.39,198,160,6,5477,Quarterly
980,2,725047,2024-01-14,10.56,162,141,5,7311,Yearly
981,6,1499321,2023-02-12,7.46,45,196,5,9831,Monthly
982,3,2720654,2021-07-29,8.55,160,180,5,3778,Monthly
983,1,1536444,2023-09-27,11.22,54,143,5,4761,Yearly
984,6,1928344,2020-11-29,8.62,145,156,10,3159,Monthly
985,6,556739,2021-07-15,7.8,103,198,1,6835,Monthly
986,4,203086,2023-01-07,7.9,108,165,4,7651,Quarterly
987,8,747660,2023-03-25,8.41,81,190,7,7771,Yearly
988,1,4084522,2023-08-10,9.03,142,117,3,5931,Yearly
989,6,3108416,2021-10-27,7.13,212,121,5,2155,Quarterly
990,5,1592069,2024-05-16,7.53,148,165,5,1011,Quarterly
991,5,1182639,2021-12-07,11.93,23,104,4,3645,Quarterly
992,3,239279,2023-06-20,6.82,184,111,8,3778,Yearly
993,7,385268,2020-12-16,10.82,160,127,4,9062,Yearly
994,6,2493600,2022-09-03,8.64,60,172,2,9534,Quarterly
995,8,1938327,2021-01-19,7.75,155,138,10,8142,Quarterly
996,2,4381614,2023-12-18,11.95,91,132,8,5853,Monthly
997,3,4430616,2020-12-08,9.39,46,198,5,6996,Yearly
998,5,4376211,2024-06-02,7.33,88,113,6,7894,Quarterly
999,2,2996290,2021-02-26,10.82,135,103,5,8122,Quarterly
1000,5,472795,2024-03-20,7.11,130,134,9,4976,Quarterly
1001,2,2224106,2023-01-27,7.91,228,151,9,3185,Quarterly
1002,6,3763191,2022-06-14,11.31,28,109,10,1416,Yearly
1003,6,1507977,2024-09-26,8.15,13,198,9,4098,Monthly
1004,8,4817422,2020-05-06,11.61,120,199,5,7513,Yearly
1005,2,3228614,2020-09-12,9.6,28,188,7,4454,Yearly
1006,5,691088,2022-10-16,8.36,158,177,8,4338,Quarterly
1007,1,1610941,2024-03-13,11.31,157,110,4,4785,Monthly
1008,5,4729782,2020-12-25,7.75,195,128,1,8044,Yearly
1009,3,99937,2023-04-10,10.57,176,169,3,4638,Yearly
1010,3,2709602,2022-05-31,11.51,151,187,3,6996,Quarterly
1011,7,984895,2023-11-20,8.86,169,172,8,6601,Monthly
1012,7,4218204,2022-08-27,8.24,77,117,8,4883,Yearly
1013,8,2472828,2023-10-11,10.79,95,153,5,8238,Yearly
1014,1,2273016,2021-12-02,10.04,81,165,6,5316,Yearly
1015,5,713218,2024-09-16,7.88,192,159,8,4414,Yearly
1016,8,2287981,2023-06-19,10.25,56,177,4,5321,Yearly
1017,1,2781465,2022-06-21,7.86,15,150,8,2185,Quarterly
1018,6,465402,2023-08-22,10.23,70,169,7,3887,Yearly
1019,6,1393111,2021-08-09,10.68,132,190,1,7031,Yearly
1020,8,2030329,2020-08-04,6.66,121,176,5,6847,Quarterly
1021,5,1761961,2024-01-17,10.56,19,119,5,4795,Quarterly
1022,7,1755235,2023-02-15,8.2,169,127,4,4783,Yearly
1023,5,406340,2021-07-11,7.07,37,174,6,8824,Monthly
1024,6,2868459,2020-02-09,9.79,207,161,3,6638,Quarterly
1025,7,4220618,2024-03-07,11.23,16,111,4,4202,Yearly
1026,7,233265,2020-11-22,8.06,139,132,8,6137,Yearly
1027,6,113940,2023-05-16,10,113,122,4,4366,Monthly
1028,6,1824637,2023-09-22,8.09,71,117,5,1387,Yearly
1029,7,2316385,2024-06-11,9.55,162,186,8,5981,Yearly
1030,7,2506408,2020-09-21,9.51,136,166,2,7199,Monthly
1031,4,4796757,2021-01-05,9.36,85,158,6,9126,Yearly
1032,1,4482447,2021-03-21,7.91,173,106,7,4788,Monthly
1033,7,945829,2023-05-11,9.15,152,128,7,3082,Monthly
1034,5,1879590,2023-05-29,8.03,54,119,5,6047,Monthly
1035,1,3465089,2020-11-12,8.95,141,119,8,7112,Monthly
1036,3,1218172,2021-06-08,10.93,137,161,1,9713,Quarterly
1037,4,3386250,2020-07-20,8.03,77,186,6,2592,Quarterly
1038,4,2205597,2023-02-04,10.38,131,117,10,5477,Yearly
1039,3,4541790,2021-09-10,6.61,169,102,9,1492,Monthly
1040,7,4715720,2022-11-18,10.63,166,111,3,3894,Monthly
1041,3,1720283,2021-09-14,8.41,157,162,2,6602,Yearly
1042,2,1992216,2023-06-10,8.18,51,186,6,3082,Yearly
1043,7,581689,2021-01-16,10.94,168,166,7,5975,Yearly
1044,8,2115508,2021-12-24,7.16,179,189,6,6706,Yearly
1045,4,3865276,2023-08-12,6.55,214,124,2,5710,Monthly
1046,2,893381,2024-03-30,11.3,178,134,1,7112,Quarterly
1047,4,3409421,2022-05-15,8.89,234,102,7,8561,Quarterly
1048,2,4711149,2022-04-28,9.87,161,167,4,9910,Quarterly
1049,5,2656687,2023-05-28,8.78,57,191,5,3556,Monthly
1050,4,3747721,2023-01-11,10.95,175,126,9,4094,Quarterly
1051,4,3642706,2024-01-18,7.59,61,190,1,3053,Yearly
1052,8,2990533,2023-06-10,7.46,102,124,10,4792,Yearly
1053,2,3545468,2024-02-14,7.04,189,181,1,9808,Yearly
1054,6,1016965,2024-05-07,11.07,113,100,6,5931,Quarterly
1055,2,3762477,2022-05-16,9.25,210,171,2,2720,Yearly
1056,5,2520747,2021-04-02,9.46,234,144,2,1032,Monthly
1057,6,2436166,2023-11-13,9.67,115,137,10,3233,Monthly
1058,1,3924455,2020-12-01,10.15,187,149,2,4201,Quarterly
1059,5,1393636,2021-01-14,11.75,79,164,4,6782,Monthly
1060,8,2009018,2022-02-17,11.62,51,169,4,5933,Yearly
1061,3,2180259,2024-02-29,11.39,72,157,9,3165,Monthly
1062,1,1868418,2024-03-24,10.27,83,101,4,3367,Yearly
1063,2,999395,2021-12-18,10.9,108,125,5,8871,Monthly
1064,8,1705125,2021-02-22,9.1,152,154,8,2186,Yearly
1065,8,4836878,2020-04-02,7.75,132,160,5,1780,Quarterly
1066,4,1413790,2020-11-05,6.5,135,149,1,8756,Yearly
1067,5,3326287,2020-06-13,9.94,132,150,3,8702,Yearly
1068,5,3484766,2020-07-30,6.99,81,103,6,1587,Monthly
1069,7,4862866,2024-03-27,10.14,168,154,3,4788,Monthly
1070,5,301210,2020-03-24,7.2,75,111,10,9028,Monthly
1071,7,1833091,2021-07-10,7.34,172,174,3,4942,Yearly
1072,6,2861084,2023-04-03,6.64,42,157,2,4026,Quarterly
1073,1,2975006,2022-10-12,8.35,198,188,9,2634,Monthly
1074,7,1213174,2021-04-19,11.1,43,120,1,1980,Monthly
1075,2,1775386,2022-07-29,9.08,12,166,6,6820,Quarterly
1076,3,2065386,2020-10-26,11.48,224,124,1,2753,Monthly
1077,2,4684856,2020-08-25,10.12,186,185,3,9346,Yearly
1078,1,4538074,2024-06-03,8,224,103,10,2283,Yearly
1079,5,2922242,2024-03-09,8.38,107,127,7,6556,Yearly
1080,7,933374,2023-12-18,11,121,125,9,3778,Yearly
1081,7,4866966,2021-09-19,9.99,174,160,4,1808,Quarterly
1082,4,1156467,2022-07-01,10.84,54,156,1,2346,Yearly
1083,3,4278454,2024-03-26,11.94,52,194,8,7594,Quarterly
1084,2,991548,2024-03-03,11.78,178,185,10,3593,Yearly
1085,6,1719497,2024-04-17,7.88,131,163,5,4761,Yearly
1086,2,1555411,2022-03-23,8.01,162,166,1,8653,Quarterly
1087,2,4051454,2024-08-12,11.82,236,117,10,8121,Quarterly
1088,2,3360645,2022-12-03,9.37,50,149,5,9126,Quarterly
1089,2,504693,2024-08-06,6.89,85,119,5,8267,Monthly
1090,7,2743435,2024-08-25,9.56,116,114,1,3741,Quarterly
1091,1,4449950,2020-02-24,9.86,229,197,5,4414,Monthly
1092,5,2266555,2020-04-08,8.24,160,165,10,3791,Yearly
1093,4,115657,2023-08-30,8.25,97,195,10,8851,Quarterly
1094,8,2977282,2021-01-05,9.58,190,110,1,6966,Monthly
1095,3,3166450,2023-04-06,11.4,67,127,10,8871,Monthly
1096,2,265391,2023-10-30,8.76,43,199,8,7370,Yearly
1097,3,3836140,2022-09-04,7.69,145,101,1,5611,Monthly
1098,6,4485046,2023-03-15,8.23,119,184,4,4560,Yearly
1099,4,3252399,2023-10-06,10.87,92,196,2,1404,Quarterly
1100,2,3934275,2023-11-29,11.66,98,153,3,9713,Quarterly
1101,5,4325043,2020-04-21,10,189,123,2,2842,Yearly
1102,7,4402051,2020-04-12,9.37,239,184,3,5868,Monthly
1103,1,4349092,2021-07-03,11.69,101,185,8,2823,Yearly
1104,4,3490557,2024-09-25,11.65,73,121,8,6566,Monthly
1105,8,1567426,2022-07-30,10.09,151,150,8,9512,Monthly
1106,5,1668640,2021-05-24,10.93,130,124,7,1540,Quarterly
1107,7,471518,2024-03-06,7.91,160,191,9,3797,Quarterly
1108,5,519774,2023-08-31,6.65,199,181,9,2437,Quarterly
1109,8,953422,2021-02-21,11.62,212,107,6,7531,Yearly
1110,1,669900,2022-08-28,7.69,180,168,10,5541,Yearly
1111,5,3640271,2023-04-23,7.78,114,141,5,5436,Yearly
1112,6,3573610,2024-02-23,6.9,34,179,2,7452,Quarterly
1113,4,3491511,2020-12-05,8.45,198,126,4,6584,Yearly
1114,7,954175,2024-03-04,10.66,166,156,3,6047,Monthly
1115,8,3136126,2024-09-16,8.4,188,163,2,8015,Monthly
1116,1,3761499,2024-08-02,8.26,57,129,8,3791,Yearly
1117,2,4867335,2023-12-30,10.12,142,136,2,4786,Quarterly
1118,3,278329,2024-01-18,7.01,236,119,4,4389,Quarterly
1119,5,2062023,2024-10-12,7.5,157,123,3,4094,Monthly
1120,4,1664191,2021-04-30,6.9,120,194,2,9867,Yearly
1121,8,3134774,2024-04-23,6.59,215,123,5,5113,Monthly
1122,1,2240630,2020-06-22,11.88,237,152,6,8876,Yearly
1123,8,4547042,2023-04-30,11.66,72,182,8,4902,Quarterly
1124,5,1689268,2022-03-29,7.76,29,175,4,1957,Monthly
1125,3,1533273,2024-03-16,11.32,84,116,3,4495,Yearly
1126,4,3756073,2023-03-19,9.42,18,115,4,6762,Quarterly
1127,1,2308928,2022-12-31,6.75,168,170,7,3685,Monthly
1128,8,3030547,2022-06-02,10.49,37,128,2,6999,Quarterly
1129,4,1959823,2022-09-22,9.1,98,151,9,4088,Quarterly
1130,5,145021,2020-07-09,6.71,82,193,2,3715,Monthly
1131,3,2373330,2020-03-28,7.68,169,130,8,7754,Yearly
1132,5,3075683,2020-05-20,7.96,212,168,9,4969,Quarterly
1133,2,206285,2021-02-02,9.99,155,123,7,4793,Quarterly
1134,2,1776937,2023-02-12,11.5,57,110,9,8373,Yearly
1135,6,2980598,2022-12-19,9.42,46,137,9,6323,Monthly
1136,8,4284646,2020-03-24,6.77,62,105,1,1526,Quarterly
1137,1,390680,2022-11-26,8.81,129,160,8,2050,Quarterly
1138,8,4251205,2023-03-28,8.08,14,161,4,7244,Yearly
1139,1,2591426,2020-10-29,8.17,148,110,3,7886,Quarterly
1140,1,2187970,2023-08-23,8.39,196,187,10,6839,Quarterly
1141,6,965605,2022-12-08,9.13,229,151,7,9559,Monthly
1142,2,3066904,2023-01-15,10.27,233,114,4,6552,Quarterly
1143,1,1332829,2023-07-03,10.11,122,111,7,3791,Yearly
1144,2,1704713,2022-12-27,8.41,58,179,5,6567,Monthly
1145,7,3265603,2020-06-24,7.97,225,186,4,3290,Quarterly
1146,3,384333,2022-01-28,10.09,46,142,7,5561,Quarterly
1147,4,4578854,2022-02-08,8.76,23,152,10,5541,Monthly
1148,1,3233115,2021-12-29,11.02,235,116,8,3721,Yearly
1149,2,4457680,2022-08-27,9.24,149,164,7,5512,Yearly
1150,3,4440938,2020-09-20,9.41,73,109,1,1843,Monthly
1151,7,4305827,2020-07-22,9.93,126,127,9,1625,Monthly
1152,1,4111163,2022-08-05,9.46,20,185,10,7045,Yearly
1153,8,2631990,2020-12-21,8.36,14,105,1,2151,Yearly
1154,6,1717293,2022-11-14,9.9,178,136,8,4792,Quarterly
1155,7,4343527,2021-06-11,8.78,12,143,9,4082,Yearly
1156,5,1725941,2020-03-02,7.07,200,162,2,5089,Quarterly
1157,6,1625047,2024-07-30,11.61,45,144,8,7743,Monthly
1158,2,3555922,2022-10-10,9.71,161,114,5,6017,Monthly
1159,3,4579882,2020-04-26,9.78,67,125,8,5399,Quarterly
1160,5,4847134,2023-12-02,8.55,198,135,2,3479,Yearly
1161,2,2526975,2023-08-05,7.12,164,131,2,1398,Yearly
1162,2,1273192,2024-05-18,9.69,64,119,8,6313,Quarterly
1163,6,1588101,2023-08-01,8.86,40,110,10,1416,Monthly
1164,3,4219964,2022-04-08,7.38,231,132,1,2101,Monthly
1165,3,1953898,2020-03-04,10.64,41,153,2,6137,Quarterly
1166,6,3203918,2023-12-30,9.3,166,168,4,5316,Monthly
1167,7,2195629,2020-03-10,8.72,19,106,1,9328,Monthly
1168,5,207556,2022-09-10,8.78,32,194,4,3274,Monthly
1169,3,2879598,2023-03-19,10.95,193,117,7,3178,Quarterly
1170,5,192023,2023-04-27,9.88,149,163,5,2178,Yearly
1171,3,3284872,2022-09-28,11.49,31,126,4,6162,Quarterly
1172,5,4168622,2020-10-30,10.63,129,181,8,6638,Quarterly
1173,5,233685,2024-02-26,9.54,109,142,10,6554,Quarterly
1174,2,2252341,2020-11-06,9.98,115,192,2,8265,Yearly
1175,7,1141173,2021-10-01,6.69,139,157,10,3221,Monthly
1176,7,4073754,2022-11-09,11.44,84,117,8,9463,Yearly
1177,6,1345902,2024-03-23,7.6,74,187,1,6283,Yearly
1178,8,965069,2024-04-11,9.28,129,113,5,6572,Quarterly
1179,1,202280,2022-11-20,9.56,59,193,10,4565,Quarterly
1180,5,4273215,2021-06-01,8.92,45,159,4,9609,Yearly
1181,6,1177930,2022-07-19,9.87,157,150,2,4069,Yearly
1182,7,4335960,2023-02-02,10.38,39,168,8,3318,Monthly
1183,8,1159072,2023-09-16,10.24,167,104,5,2197,Monthly
1184,6,2363200,2021-09-18,11.26,100,169,2,5931,Quarterly
1185,7,1100850,2024-03-23,8.74,86,191,2,7979,Monthly
1186,2,4966940,2020-08-22,10.12,206,115,2,3260,Yearly
1187,1,2159134,2024-07-22,7.9,73,109,4,9095,Quarterly
1188,7,4199036,2021-10-27,11.29,19,187,4,7810,Monthly
1189,8,1833265,2022-06-11,10.94,162,157,1,6777,Monthly
1190,8,4448046,2022-04-03,7.21,104,126,6,1631,Monthly
1191,1,3414425,2020-05-27,9.26,61,116,4,9966,Monthly
1192,1,4977903,2022-07-12,7.31,197,158,4,8436,Quarterly
1193,2,4264570,2023-06-03,6.52,24,143,10,1912,Yearly
1194,5,1811744,2021-12-02,10.74,223,101,3,3177,Yearly
1195,8,2262352,2020-10-12,8.96,139,183,8,9446,Quarterly
1196,8,3548288,2020-10-21,6.97,185,140,1,2119,Monthly
1197,8,4635144,2022-11-12,11.23,196,136,6,9297,Yearly
1198,3,4937560,2022-04-29,8.7,117,164,5,8121,Quarterly
1199,1,3458387,2020-07-27,7.81,63,176,8,6781,Yearly
1200,2,1663133,2024-10-25,8.49,237,108,1,1661,Yearly
1201,3,1995303,2024-07-07,11.97,33,130,9,5914,Yearly
1202,3,4522353,2024-01-16,11.52,136,131,10,6187,Yearly
1203,5,1977513,2023-08-19,9.87,31,147,5,9572,Monthly
1204,7,300605,2021-10-13,10.46,227,181,7,7181,Quarterly
1205,6,1665300,2022-12-15,7.9,138,151,9,7828,Monthly
1206,6,4080025,2020-08-26,10.9,158,108,4,8887,Monthly
1207,7,1105657,2022-07-26,10.89,53,130,6,5076,Yearly
1208,2,3805804,2024-04-16,6.95,80,135,3,3185,Yearly
1209,8,2145404,2022-07-20,11.41,28,180,7,1249,Yearly
1210,1,4772140,2023-09-07,10.25,63,129,1,4428,Quarterly
1211,2,1994172,2024-08-04,10.43,89,131,10,1765,Quarterly
1212,2,340861,2022-08-31,8.1,50,133,8,6477,Quarterly
1213,2,1441909,2021-09-13,10.99,212,197,5,5062,Yearly
1214,4,3111540,2023-07-11,10.8,13,199,3,5931,Monthly
1215,4,3208832,2023-06-03,8.31,82,168,4,5530,Monthly
1216,1,256886,2022-02-19,7.32,116,118,5,2151,Monthly
1217,7,482074,2024-05-20,6.94,80,195,3,2698,Quarterly
1218,6,2895171,2023-11-09,9.31,191,162,7,2924,Monthly
1219,4,3349833,2024-08-28,10.14,180,100,1,2479,Yearly
1220,1,4173657,2021-07-15,10.8,101,169,4,3911,Quarterly
1221,4,1465572,2020-02-27,9.65,24,132,4,3163,Monthly
1222,6,2716723,2024-05-22,9.3,56,191,8,2458,Yearly
1223,8,2406677,2021-08-02,12,140,122,1,5477,Monthly
1224,8,639784,2024-03-30,10.68,205,170,9,6322,Quarterly
1225,1,2456667,2021-10-23,10.07,148,141,4,3218,Yearly
1226,4,1413993,2023-12-22,10.84,114,152,4,9417,Monthly
1227,5,4912272,2022-04-12,6.97,53,130,10,7885,Monthly
1228,8,999781,2024-07-13,7.37,214,122,3,1388,Quarterly
1229,5,4519112,2023-09-09,11.14,129,118,3,7753,Quarterly
1230,1,4803441,2024-10-24,9.37,28,182,3,4931,Yearly
1231,4,4106123,2020-07-05,8.9,29,197,7,5622,Quarterly
1232,8,3205713,2024-06-10,8.47,48,120,4,1524,Yearly
1233,3,2665105,2021-09-15,10.17,213,112,3,9867,Yearly
1234,5,265268,2023-02-05,10.57,91,178,8,7894,Yearly
1235,8,3923068,2023-12-07,11.64,203,187,9,6777,Monthly
1236,3,4683113,2021-04-04,8.53,78,113,4,5040,Yearly
1237,2,3836112,2022-01-16,9.96,196,189,4,5935,Quarterly
1238,2,766005,2021-04-12,8.5,144,123,8,4709,Quarterly
1239,3,4499043,2022-07-21,7.33,140,190,4,8208,Quarterly
1240,4,2631998,2023-09-14,7.11,195,139,6,2819,Yearly
1241,6,892422,2023-06-28,7.39,33,153,7,6875,Yearly
1242,2,2432791,2022-09-17,10.95,148,116,4,6384,Quarterly
1243,7,2318964,2020-07-19,9.67,27,135,9,5905,Quarterly
1244,1,3755206,2021-09-24,9.13,85,186,2,7945,Yearly
1245,5,2423558,2023-07-05,10.48,183,143,2,4880,Quarterly
1246,8,192250,2022-04-09,10.18,50,174,8,5530,Quarterly
1247,2,2906070,2022-06-10,11.46,79,104,7,9163,Monthly
1248,8,1591449,2021-05-13,6.85,44,148,8,4931,Monthly
1249,8,3776753,2022-03-07,11.92,143,142,10,2101,Monthly
1250,2,3458588,2022-01-03,7.07,112,167,9,5386,Monthly
1251,7,949753,2023-06-14,11.94,161,117,5,2741,Yearly
1252,3,4979039,2022-01-10,8.6,24,188,1,2184,Yearly
1253,7,2048174,2020-12-18,9.61,172,149,6,8368,Yearly
1254,3,2671741,2021-04-10,11.13,146,176,6,7565,Yearly
1255,7,4394842,2021-08-19,10.97,169,172,2,3791,Yearly
1256,1,4540904,2020-03-27,8.8,75,163,8,4783,Monthly
1257,7,2091593,2022-02-02,6.78,178,150,9,1708,Yearly
1258,6,3618198,2022-08-22,11.41,83,127,6,7367,Yearly
1259,3,3169607,2023-12-13,8.32,129,194,10,9957,Quarterly
1260,6,1397947,2024-02-17,10.31,66,133,1,5839,Monthly
1261,8,3919642,2024-10-05,11.85,59,152,1,4300,Quarterly
1262,4,2344929,2023-09-17,8.55,209,146,1,8658,Quarterly
1263,6,4254309,2023-08-04,7.07,237,140,9,5337,Quarterly
1264,6,4888947,2020-04-24,7.44,46,154,8,1526,Monthly
1265,1,3009806,2021-09-19,9.31,183,152,8,7199,Yearly
1266,2,4933852,2021-05-10,9.73,219,140,2,5914,Quarterly
1267,4,973032,2022-04-27,6.64,78,163,4,2193,Quarterly
1268,4,2195277,2021-02-27,8.47,89,187,5,4026,Yearly
1269,7,1373122,2020-03-31,7.5,197,171,7,3593,Monthly
1270,8,1372898,2022-03-13,9.68,133,163,6,5130,Yearly
1271,2,3631210,2022-05-13,8.87,83,190,3,4543,Quarterly
1272,8,4234962,2024-09-06,6.85,236,166,3,1661,Yearly
1273,4,1450822,2021-06-30,6.68,106,161,1,2823,Yearly
1274,6,318382,2020-05-11,6.53,139,188,8,7709,Quarterly
1275,4,3234792,2024-02-18,6.93,194,156,2,7551,Yearly
1276,8,2189068,2020-03-02,11.21,24,154,2,2749,Quarterly
1277,5,1196526,2020-06-20,10.36,214,145,5,9321,Yearly
1278,8,3079184,2020-09-17,10.69,176,181,3,8609,Monthly
1279,3,4763145,2022-09-02,7.89,209,199,4,1587,Quarterly
1280,4,368309,2022-07-14,7.55,175,113,9,2385,Quarterly
1281,7,1917199,2020-07-16,8.53,88,149,4,9583,Monthly
1282,1,4407194,2023-06-18,8.8,18,187,4,1116,Yearly
1283,6,4100979,2023-02-03,9.86,17,198,6,6847,Yearly
1284,4,3217031,2020-10-07,8.1,15,101,2,5693,Yearly
1285,6,3855915,2023-05-18,7.23,209,135,2,2842,Quarterly
1286,7,3801412,2021-03-12,10.52,37,138,4,7494,Quarterly
1287,4,3054829,2022-01-03,7.09,26,114,7,4457,Quarterly
1288,4,4224903,2020-12-13,7.06,227,189,7,2950,Quarterly
1289,2,1116768,2024-04-03,6.51,143,163,2,9229,Monthly
1290,7,2703599,2021-01-09,11.44,86,194,8,6825,Monthly
1291,1,3821978,2024-06-09,7.76,93,121,6,7300,Yearly
1292,2,1182101,2024-06-19,11.49,81,102,6,8696,Quarterly
1293,8,1968615,2022-02-21,11.58,141,182,4,7812,Monthly
1294,5,3167638,2024-03-22,10.53,155,185,8,2203,Quarterly
1295,7,2960169,2020-10-07,10.17,69,189,8,5632,Yearly
